iter	Passed	Remaining
300	549	1276
301	552	1276
302	553	1273
303	554	1270
304	556	1267
305	557	1264
306	558	1261
307	559	1257
308	560	1254
309	562	1251
310	563	1249
311	565	1246
312	567	1244
313	568	1241
314	569	1238
315	570	1234
316	571	1231
317	572	1228
318	573	1225
319	575	1222
320	576	1219
321	578	1217
322	579	1215
323	581	1212
324	582	1209
325	583	1206
326	584	1203
327	585	1200
328	587	1197
329	588	1194
330	589	1191
331	591	1190
332	592	1187
333	594	1184
334	595	1182
335	596	1179
336	598	1176
337	599	1174
338	600	1171
339	602	1169
340	604	1169
341	606	1166
342	607	1163
343	608	1160
344	610	1158
345	611	1155
346	612	1152
347	613	1149
348	615	1147
349	617	1146
350	619	1145
351	621	1143
352	622	1141
353	623	1138
354	625	1135
355	626	1132
356	627	1130
357	629	1129
358	631	1127
359	632	1125
360	633	1122
361	635	1119
362	636	1116
363	637	1114
364	638	1111
365	639	1108
366	641	1106
367	644	1106
368	645	1103
369	646	1101
370	647	1098
371	649	1096
372	651	1094
373	652	1092
374	654	1090
375	655	1088
376	657	1086
377	659	1084
378	660	1081
379	661	1078
380	662	1076
381	663	1074
382	665	1071
383	666	1069
384	669	1070
385	671	1067
386	672	1065
387	673	1062
388	675	1060
389	676	1057
390	677	1055
391	678	1052
392	679	1049
393	681	1047
394	682	1045
395	683	1043
396	685	1040
397	686	1038
398	687	1036
399	689	1033
400	690	1031
401	691	1028
402	692	1026
403	694	1024
404	695	1022
405	697	1020
406	699	1018
407	700	1015
408	701	1013
409	702	1011
410	704	1009
411	705	1006
412	706	1003
413	707	1001
414	709	999
415	710	997
416	712	995
417	713	992
418	714	990
419	715	988
420	717	986
421	718	983
422	719	981
423	721	980
424	722	978
425	724	976
426	725	973
427	726	971
428	728	969
429	729	967
430	730	964
431	732	962
432	733	960
433	734	958
434	736	956
435	737	954
436	739	952
437	740	950
438	741	947
439	742	945
440	743	942
441	745	940
442	746	938
443	748	936
444	749	935
445	751	933
446	752	930
447	753	928
448	755	927
449	756	924
450	757	922
451	759	921
452	761	919
453	763	917
454	764	915
455	765	913
456	766	911
457	767	908
458	769	906
459	770	904
460	771	902
461	772	899
